tsec,U_totV,iA,PW,m_Air,m_H2,RH_Air,RH_H2,P_Air_supply,P_H2_supply,P_Air_inlet,P_H2_inlet,T_1,T_2,T_3,T_4,T_Air_inlet,T_H2_inlet,T_Stack_inlet,T_Heater,m_Air_write,m_H2_write,Heater_power,i_write
7.217,0.94,0.112,0.105,0.216,0.082,93.845,100.947,0.34,0.404,0.338,0.366,14.591,-64761.341,34.078,14.514,29.493,18.554,42.628,65.09,0.024,0.002,0,0.0
9679.666,0.342,0.112,0.038,6.153,1.31,62.441,93.81,0.901,0.772,1.084,0.971,15.029,-64401.459,26.389,15.146,29.507,21.651,33.025,59.368,0.523,0.546,0,0.0
168.331,0.842,0.112,0.094,5.77,1.298,96.064,99.928,0.846,0.842,1.022,1.082,14.531,-64717.021,34.841,14.463,29.356,17.813,43.728,64.933,0.523,0.546,5,0.0
79.791,0.882,0.112,0.099,-0.167,1.298,81.386,102.137,0.039,0.842,0.031,1.086,14.554,-64742.723,34.459,14.472,27.805,17.854,43.413,64.96,0.523,0.546,5,0.0
3114.581,0.772,4.05,3.128,6.153,1.298,85.482,94.999,0.897,1.0,1.09,1.026,13.674,-64360.122,18.953,13.672,30.398,18.38,20.21,58.019,0.523,0.546,0,4.0
9009.356,0.875,1.05,0.918,6.153,1.077,63.465,91.6,0.914,0.943,1.109,0.945,13.912,-64295.283,27.324,13.89,30.299,17.913,35.915,64.6,0.523,0.546,0,1.0
107.188,0.871,0.112,0.098,0.216,1.274,94.016,100.947,0.374,0.842,0.376,1.086,14.609,-64734.62,34.662,14.529,28.069,17.851,43.552,65.194,0.523,0.546,0,0.0
5291.568,0.663,15.037,9.981,6.217,1.31,64.148,84.123,0.884,0.981,1.072,1.018,13.73,-64288.758,35.161,13.699,30.303,18.697,44.491,65.311,0.523,0.546,0,15.0
1696.356,0.647,15.037,9.736,6.217,1.298,102.379,102.477,0.88,0.981,1.072,1.013,14.512,-64438.806,31.914,14.468,30.703,17.968,37.083,63.431,0.523,0.546,0,15.0
6276.943,0.852,2.062,1.758,6.217,1.298,59.54,90.241,0.892,0.994,1.09,1.035,13.602,-64264.965,35.467,13.577,30.753,18.124,44.513,65.134,0.523,0.546,0,2.0
8230.766,0.542,15.037,8.157,6.217,1.298,66.537,90.751,0.909,0.981,1.103,1.009,13.658,-64265.192,19.216,13.639,30.343,18.586,20.564,59.162,0.523,0.546,0,15.0
12.04,0.932,0.112,0.104,-0.167,0.046,91.627,98.058,0.213,0.327,0.206,0.289,14.657,-64760.252,34.116,14.566,29.229,18.385,42.695,64.864,0.523,0.002,0,0.0
8501.964,0.895,0.487,0.436,6.153,1.286,60.734,89.051,0.905,1.0,1.103,1.043,13.795,-64274.121,18.396,13.805,30.309,18.501,19.509,63.226,0.523,0.546,5,0.4
3164.841,0.895,0.487,0.436,6.217,1.286,84.117,94.32,0.901,1.0,1.084,1.03,13.636,-64358.565,18.733,13.618,30.433,18.25,19.917,57.895,0.523,0.546,5,0.4
10824.244,0.071,0.091,0.006,-0.167,0.021,92.651,92.45,0.031,0.105,0.018,0.038,16.175,-64741.199,23.47,16.366,24.522,21.84,23.668,55.609,0.024,0.002,0,0.0
1318.824,0.945,0.112,0.106,6.217,1.286,99.99,103.157,0.884,1.007,1.059,1.043,14.567,-64485.997,36.251,14.484,30.728,17.803,45.037,65.289,0.523,0.546,0,0.0
95.757,0.865,0.112,0.097,-0.231,1.274,86.848,99.248,0.039,0.848,0.025,1.086,14.599,-64737.994,34.541,14.535,27.58,17.849,43.471,65.369,1.232,0.546,0,0.0
6299.917,0.954,0.112,0.107,6.089,1.286,59.369,89.051,0.897,0.994,1.084,1.026,13.577,-64264.56,35.4,13.558,30.757,18.24,44.494,65.167,0.523,0.546,0,0.0
15.186,0.93,0.112,0.104,-0.167,0.033,89.579,98.738,0.162,0.296,0.156,0.251,14.673,-64759.754,34.147,14.575,29.133,18.285,42.751,64.707,0.523,0.546,5,0.0
113.475,0.86,0.112,0.096,0.216,1.286,91.797,94.829,0.281,0.842,0.369,1.086,14.598,-64732.861,34.74,14.49,27.791,17.844,43.62,65.116,0.523,0.546,0,0.0
6308.594,0.882,0.862,0.761,6.089,1.298,59.71,91.43,0.897,0.994,1.09,1.026,13.623,-64264.407,35.265,13.599,30.751,18.249,44.496,65.095,0.523,0.546,0,0.8
161.755,0.845,0.112,0.095,5.706,1.286,97.942,99.078,0.846,0.848,1.009,1.077,14.501,-64718.844,34.792,14.441,29.281,17.826,43.653,65.029,0.523,0.546,0,0.0
137.184,0.855,0.112,0.096,5.387,1.298,96.235,95.849,0.829,0.848,0.99,1.082,14.533,-64725.907,34.778,14.465,28.841,17.841,43.698,65.0,0.523,0.546,0,0.0
6286.787,0.89,0.862,0.767,6.217,1.298,61.588,89.221,0.897,0.988,1.084,1.026,13.607,-64264.688,35.482,13.582,30.78,18.221,44.459,65.114,0.523,0.546,0,0.8
1307.392,0.885,0.862,0.763,6.217,1.286,98.283,99.758,0.875,1.007,1.072,1.039,14.368,-64487.705,36.255,14.285,30.828,17.769,45.112,64.935,0.523,0.546,5,0.8
6323.373,0.84,2.062,1.732,6.153,1.31,58.857,90.581,0.892,0.994,1.09,1.026,13.582,-64264.121,35.231,13.56,30.789,18.213,44.466,65.182,0.523,0.546,0,2.0
6281.281,0.892,0.862,0.769,6.217,1.298,59.54,89.901,0.897,0.994,1.097,1.03,13.595,-64264.97,35.526,13.588,30.746,18.147,44.508,64.959,0.523,0.546,5,0.8
8.043,0.94,0.112,0.105,0.088,0.07,91.285,99.248,0.311,0.391,0.3,0.349,14.634,-64761.187,34.058,14.548,29.432,18.501,42.654,65.02,0.024,0.002,0,0.0
8496.265,0.897,0.487,0.437,6.153,1.298,61.246,90.581,0.909,1.007,1.097,1.043,13.806,-64273.894,18.428,13.799,30.312,18.539,19.541,62.186,0.523,0.546,5,0.4
2842.084,0.545,15.037,8.195,6.153,1.31,86.165,93.81,0.897,0.981,1.084,1.013,13.817,-64367.415,19.918,13.763,30.412,18.635,21.41,59.039,0.523,0.546,0,15.0
6270.866,0.854,2.062,1.762,6.153,1.298,61.076,87.692,0.897,1.0,1.078,1.035,13.602,-64264.965,35.441,13.554,30.759,18.216,44.563,64.879,0.523,0.546,5,2.0
10180.848,0.202,0.112,0.022,6.217,1.31,62.1,94.15,0.905,0.772,1.084,0.967,15.546,-64549.023,24.747,15.768,27.362,22.815,27.731,57.651,0.523,0.546,0,0.0
3191.371,0.885,0.487,0.431,6.217,1.298,85.141,94.659,0.897,1.007,1.084,1.03,13.834,-64357.432,18.75,13.804,30.43,18.091,19.757,59.852,0.523,0.546,5,0.4
7425.609,0.582,15.037,8.759,6.089,1.298,63.465,92.62,0.909,0.975,1.103,1.018,13.616,-64254.858,23.025,13.567,30.779,18.908,25.235,62.153,0.523,0.546,0,15.0
3168.566,0.895,0.487,0.436,6.217,1.286,85.824,95.849,0.897,1.007,1.09,1.035,13.696,-64358.357,18.714,13.698,30.432,18.192,19.904,58.35,0.523,0.546,5,0.4
31.467,0.92,0.112,0.103,-0.231,0.021,88.896,94.829,0.073,0.277,0.062,0.221,14.58,-64756.307,34.21,14.486,28.673,17.875,42.954,65.694,0.523,0.546,0,0.0
4817.216,0.893,0.862,0.77,6.217,1.286,81.386,93.81,0.888,1.0,1.084,1.039,13.799,-64298.465,35.177,13.776,30.287,18.18,44.361,65.208,0.523,0.546,0,0.8
1311.97,0.882,0.862,0.761,6.153,1.31,100.331,103.327,0.88,1.013,1.065,1.039,14.435,-64487.021,36.25,14.381,30.83,17.786,45.078,65.542,0.523,0.546,0,0.8
8514.357,0.955,0.112,0.107,6.217,1.298,61.758,91.6,0.909,0.994,1.103,1.043,13.808,-64274.749,18.35,13.795,30.282,18.203,19.449,64.131,0.523,0.546,5,0.0
8492.206,0.858,1.05,0.901,6.153,1.298,61.076,92.79,0.914,1.0,1.103,1.039,13.75,-64273.755,18.44,13.745,30.303,18.418,19.558,62.509,0.523,0.546,5,1.0
198.047,0.852,1.05,0.895,5.834,1.298,99.819,95.679,0.85,0.658,1.022,0.715,14.48,-64708.208,34.901,14.388,29.625,17.954,43.853,65.227,0.523,0.546,0,1.0
3183.445,0.887,0.487,0.432,6.153,1.298,84.458,95.509,0.897,1.007,1.084,1.03,13.821,-64357.735,18.773,13.825,30.452,18.122,19.791,59.279,0.523,0.546,5,0.4
5555.719,0.662,15.037,9.962,6.153,1.298,60.564,89.731,0.884,0.981,1.078,1.001,13.637,-64283.17,35.313,13.589,30.337,18.684,44.395,64.92,0.523,0.546,5,15.0
50.324,0.91,0.112,0.102,-0.231,1.261,87.872,98.228,0.043,0.81,0.037,1.06,14.641,-64751.104,34.31,14.575,28.258,17.795,43.165,65.052,0.523,0.546,0,0.0
4834.586,0.955,0.112,0.107,6.153,1.298,81.557,94.32,0.884,1.007,1.084,1.048,13.731,-64298.267,35.245,13.72,30.312,18.127,44.384,65.482,0.523,0.546,0,0.0
8510.625,0.952,0.112,0.107,6.217,1.286,61.076,88.711,0.914,1.0,1.103,1.043,13.817,-64274.531,18.356,13.8,30.296,18.236,19.462,62.999,0.523,0.546,5,0.0
149.756,0.85,0.112,0.095,5.643,1.286,97.6,99.248,0.841,0.848,1.009,1.082,14.48,-64722.526,34.844,14.391,29.06,17.836,43.694,65.294,0.523,0.546,0,0.0
6305.702,0.882,0.862,0.761,6.217,1.31,60.393,91.94,0.888,0.994,1.084,1.026,13.59,-64264.437,35.299,13.594,30.759,18.445,44.506,65.109,0.523,0.546,0,0.8
6299.917,0.954,0.112,0.107,6.089,1.286,59.369,89.051,0.897,0.994,1.084,1.026,13.577,-64264.56,35.4,13.558,30.757,18.24,44.494,65.167,0.523,0.546,0,0.0
3170.857,0.929,0.112,0.104,6.217,1.31,85.482,94.659,0.901,1.0,1.09,1.03,13.713,-64358.153,18.711,13.687,30.427,18.181,19.869,58.327,0.523,0.546,5,0.0
4815.795,0.85,2.062,1.753,6.153,1.286,80.191,94.15,0.892,1.0,1.078,1.043,13.79,-64298.47,35.156,13.758,30.296,18.195,44.362,65.223,0.523,0.546,0,2.0
4280.692,0.645,15.037,9.699,6.281,1.298,82.41,91.94,0.888,0.975,1.072,1.009,13.753,-64308.69,34.182,13.671,30.339,18.144,43.303,65.398,0.523,0.546,0,15.0
3192.255,0.885,0.487,0.431,6.217,1.31,85.824,95.679,0.897,1.0,1.084,1.03,13.789,-64357.452,18.743,13.805,30.445,18.082,19.758,59.949,0.523,0.546,5,0.4
76.037,0.885,0.112,0.099,-0.167,1.274,87.872,102.477,0.048,0.835,0.031,1.082,14.608,-64743.616,34.484,14.509,27.844,17.836,43.373,65.031,0.523,0.546,0,0.0
4832.864,0.955,0.112,0.107,6.153,1.31,80.191,92.62,0.888,1.013,1.09,1.043,13.727,-64298.272,35.247,13.711,30.305,18.105,44.4,65.464,0.523,0.546,0,0.0
176.326,0.84,0.112,0.094,5.77,1.519,97.6,101.967,0.85,0.912,1.022,1.329,14.617,-64714.676,34.896,14.537,29.462,17.811,43.753,65.129,0.523,0.546,0,0.0
8517.554,0.952,0.112,0.107,6.153,1.298,62.271,90.071,0.909,1.007,1.097,1.039,13.816,-64274.961,18.329,13.805,30.281,18.178,19.441,64.653,0.523,0.546,5,0.0
8236.757,0.542,15.037,8.157,6.217,1.286,66.879,88.202,0.905,0.981,1.097,1.013,13.669,-64265.37,19.168,13.679,30.359,18.669,20.525,59.14,0.523,0.546,0,15.0
8520.74,0.89,0.487,0.433,6.217,1.298,60.564,87.012,0.909,1.007,1.097,1.043,13.813,-64275.164,18.303,13.803,30.299,18.157,19.403,63.813,0.523,0.546,5,0.4
6314.114,0.84,2.062,1.732,6.217,1.298,59.369,91.6,0.901,1.0,1.09,1.026,13.64,-64264.303,35.286,13.618,30.774,18.215,44.491,65.103,0.523,0.546,0,2.0
91.761,0.87,0.112,0.097,-0.231,1.31,86.848,102.477,0.043,0.848,0.018,1.086,14.559,-64739.143,34.54,14.508,27.621,17.855,43.457,65.352,1.232,0.546,0,0.0
160.046,0.845,0.112,0.095,5.643,1.298,96.064,96.189,0.846,0.842,1.015,1.082,14.455,-64719.422,34.778,14.396,29.259,17.838,43.672,65.02,0.523,0.546,0,0.0
8180.766,0.545,15.037,8.195,6.217,1.286,61.246,91.6,0.909,0.969,1.097,1.018,13.846,-64264.224,19.502,13.849,30.341,18.679,20.785,59.339,0.523,0.546,0,15.0
4835.442,0.955,0.112,0.107,6.153,1.31,81.215,94.15,0.892,1.013,1.084,1.043,13.715,-64298.238,35.253,13.722,30.305,18.124,44.375,65.538,0.523,0.546,0,0.0
1770.358,0.64,15.037,9.624,6.153,1.298,99.136,97.888,0.888,0.981,1.078,1.018,14.092,-64434.293,30.067,14.038,30.701,18.125,34.635,63.148,0.523,0.546,0,15.0
4770.051,0.73,10.05,7.336,6.217,1.298,80.362,91.6,0.884,0.988,1.084,1.048,13.688,-64298.743,35.174,13.676,30.293,18.469,44.422,64.944,0.523,0.546,5,10.0
8652.243,0.502,16.05,8.065,6.217,1.286,67.391,88.202,0.901,0.975,1.097,1.009,13.92,-64280.303,17.948,13.893,30.331,18.394,18.928,65.539,0.523,0.546,0,16.0
6289.377,0.923,0.253,0.229,6.153,1.298,59.369,91.091,0.892,0.994,1.084,1.03,13.623,-64264.743,35.462,13.582,30.768,18.205,44.465,65.063,0.523,0.546,0,0.0
5648.72,0.662,15.037,9.962,6.217,1.298,62.612,91.77,0.884,0.969,1.078,1.005,13.556,-64278.445,35.226,13.519,30.295,18.929,44.433,64.97,0.523,0.546,5,15.0
6314.984,0.84,2.062,1.732,6.153,1.298,59.198,91.261,0.892,0.988,1.084,1.03,13.645,-64264.333,35.285,13.618,30.787,18.215,44.466,65.087,0.523,0.546,0,2.0
6294.559,0.955,0.112,0.107,6.153,1.286,58.857,91.94,0.897,0.994,1.078,1.026,13.617,-64264.654,35.371,13.602,30.759,18.085,44.459,65.4,0.523,0.546,0,0.0
3959.544,0.64,15.037,9.624,6.217,1.286,83.605,91.94,0.888,0.981,1.072,1.018,13.872,-64321.403,32.895,13.841,30.309,18.443,42.013,65.099,0.523,0.546,0,15.0
6283.593,0.892,0.862,0.769,6.217,1.298,68.586,89.391,0.897,0.994,1.09,1.026,13.626,-64264.851,35.507,13.583,30.773,18.114,44.481,65.181,0.523,0.546,0,0.8
8537.889,0.85,1.05,0.892,6.153,1.286,61.417,84.633,0.909,1.0,1.109,1.043,13.774,-64275.929,18.249,13.753,30.298,18.148,19.307,65.048,0.523,0.546,0,1.0
1312.543,0.882,0.862,0.761,6.153,1.286,100.331,103.157,0.875,1.007,1.059,1.039,14.448,-64486.941,36.256,14.408,30.801,17.796,45.055,65.347,0.523,0.546,0,0.8
9036.782,0.945,0.112,0.106,6.217,1.298,61.588,87.522,0.918,1.178,1.097,1.337,13.93,-64296.431,27.95,13.914,30.282,18.543,36.529,64.293,0.523,0.546,0,0.0
1627.498,0.655,15.037,9.849,6.153,1.298,101.355,101.967,0.88,0.981,1.072,1.018,14.158,-64444.488,33.915,14.14,30.725,18.034,40.07,63.742,0.523,0.546,0,15.0
60.045,0.9,0.112,0.101,-0.295,1.274,89.92,98.228,0.043,0.829,0.043,1.082,14.684,-64748.209,34.374,14.6,28.109,17.84,43.282,65.028,0.523,0.546,0,0.0
42.045,0.914,0.112,0.102,-0.231,1.249,90.261,99.248,0.052,0.746,0.05,0.954,14.584,-64753.569,34.259,14.499,28.453,17.742,43.039,65.109,0.523,0.546,0,0.0
6323.086,0.84,2.062,1.732,6.217,1.31,62.612,89.901,0.897,0.988,1.09,1.022,13.585,-64264.076,35.219,13.571,30.788,18.235,44.497,65.181,0.523,0.546,0,2.0
158.899,0.845,0.112,0.095,5.643,1.31,96.406,95.509,0.846,0.854,1.015,1.082,14.45,-64719.714,34.777,14.362,29.242,17.816,43.649,65.006,0.523,0.546,5,0.0
95.472,0.865,0.112,0.097,-0.167,1.298,84.8,97.548,0.039,0.835,0.031,1.09,14.599,-64737.994,34.541,14.535,27.58,17.849,43.471,65.369,1.232,0.546,0,0.0
3194.537,0.849,1.05,0.892,6.153,1.298,84.97,94.659,0.892,1.007,1.084,1.03,13.833,-64357.278,18.75,13.808,30.451,18.069,19.733,60.219,0.523,0.546,5,1.0
9765.938,0.302,0.112,0.034,6.217,1.298,62.271,95.679,0.901,0.778,1.084,0.971,15.132,-64426.121,26.04,15.268,29.16,22.069,31.966,59.06,0.523,0.546,0,0.0
3171.999,0.945,0.112,0.106,6.281,1.323,85.141,93.81,0.897,1.013,1.084,1.035,13.701,-64358.158,18.73,13.71,30.433,18.167,19.873,58.23,0.523,0.546,5,0.0
4810.934,0.852,2.062,1.758,6.281,1.286,79.679,93.3,0.884,1.0,1.084,1.039,13.784,-64298.436,35.138,13.747,30.282,18.248,44.359,65.312,0.523,0.546,0,2.0
38.895,0.915,0.112,0.102,-0.231,1.261,90.944,97.379,0.06,0.607,0.043,0.809,14.575,-64754.391,34.228,14.528,28.507,17.78,43.001,65.223,0.523,0.546,0,0.0
1299.925,0.842,2.062,1.737,6.217,1.286,100.672,98.228,0.875,1.0,1.078,1.039,14.338,-64488.78,36.307,14.267,30.813,17.757,45.18,64.984,0.523,0.546,5,2.0
27.757,0.92,0.112,0.103,-0.231,0.021,88.725,100.947,0.081,0.277,0.068,0.23,14.577,-64757.205,34.251,14.493,28.784,17.979,42.922,65.833,0.523,0.546,0,0.0
27.757,0.92,0.112,0.103,-0.231,0.021,88.725,100.947,0.081,0.277,0.068,0.23,14.577,-64757.205,34.251,14.493,28.784,17.979,42.922,65.833,0.523,0.546,0,0.0
146.327,0.851,0.112,0.095,5.132,1.298,96.235,97.548,0.807,0.842,0.953,1.086,14.476,-64723.494,34.843,14.392,29.03,17.841,43.712,64.984,0.507,0.546,0,0.0
37.473,0.916,0.112,0.103,-0.167,1.237,85.994,97.888,0.056,0.531,0.043,0.728,14.592,-64754.894,34.241,14.516,28.532,17.782,42.994,65.405,0.523,0.546,0,0.0
4840.602,0.943,0.3,0.278,6.217,1.286,80.362,93.98,0.892,1.013,1.078,1.043,13.782,-64298.213,35.218,13.766,30.301,18.103,44.391,65.586,0.523,0.546,0,0.8
2426.941,0.57,15.037,8.571,6.153,1.31,98.624,95.679,0.892,0.975,1.078,1.013,13.9,-64392.623,22.188,13.836,30.497,18.448,24.259,60.598,0.523,0.546,0,15.0
110.615,0.865,0.112,0.097,-0.103,1.286,92.992,95.849,0.273,0.842,0.263,1.086,14.624,-64733.604,34.72,14.53,27.921,17.839,43.586,65.132,0.523,0.546,0,0.0
7475.897,0.58,15.037,8.721,6.217,1.298,61.417,88.881,0.909,0.975,1.097,1.013,13.65,-64254.261,22.742,13.627,30.781,19.176,24.787,61.945,0.523,0.546,0,15.0
83.47,0.879,0.112,0.098,-0.231,1.298,87.189,101.967,0.039,0.842,0.031,1.086,14.537,-64741.528,34.488,14.463,27.745,17.842,43.457,64.988,0.523,0.546,5,0.0
9013.352,0.872,1.05,0.916,6.217,1.224,61.417,91.261,0.914,0.95,1.103,1.009,13.902,-64295.496,27.435,13.904,30.295,17.892,36.043,64.546,0.523,0.546,0,1.0
181.475,0.901,0.112,0.101,5.77,1.335,96.918,102.817,0.846,0.912,1.022,1.124,14.58,-64713.013,34.99,14.487,29.49,17.832,43.798,65.77,0.523,0.546,0,0.0
10025.092,0.226,0.11,0.024,6.217,1.31,62.783,95.679,0.901,0.766,1.072,0.984,15.582,-64502.424,25.098,15.773,27.999,22.759,29.137,58.155,0.523,0.546,0,0.0
106.617,0.874,0.112,0.098,0.28,1.286,93.675,100.438,0.396,0.848,0.401,1.086,14.605,-64734.768,34.628,14.514,28.076,17.846,43.534,65.18,0.523,0.546,0,0.0
8523.929,0.89,0.487,0.433,6.217,1.298,61.246,87.862,0.909,1.007,1.097,1.043,13.785,-64275.183,18.275,13.801,30.279,18.152,19.4,64.9,0.523,0.546,5,0.4
8512.349,0.955,0.112,0.107,6.153,1.31,66.367,90.751,0.909,1.0,1.097,1.039,13.811,-64274.6,18.354,13.809,30.301,18.231,19.468,63.111,0.523,0.546,5,0.0
6566.449,0.492,33.037,16.27,6.217,1.286,58.004,88.032,0.901,0.937,1.09,0.979,13.806,-64261.223,36.068,13.798,30.913,18.818,44.945,65.084,0.523,0.546,0,33.0
8499.764,0.895,0.487,0.436,6.217,1.286,60.564,90.411,0.909,1.0,1.103,1.043,13.814,-64274.003,18.42,13.802,30.32,18.516,19.524,63.31,0.523,0.546,5,0.4
6303.385,0.882,0.862,0.761,6.217,1.31,59.54,91.091,0.897,0.994,1.084,1.026,13.616,-64264.545,35.349,13.591,30.764,18.212,44.51,65.135,0.523,0.546,0,0.8
111.758,0.862,0.112,0.097,-0.103,1.286,93.333,98.568,0.247,0.842,0.244,1.086,14.589,-64733.287,34.765,14.502,27.869,17.835,43.607,65.11,0.523,0.546,0,0.0
